"","X","Tweet.Id","Text","Name","Screen.Name","Created.At","Favorites","Retweets","Language","Client","Tweet.Type","Media.Type","URLs","Hashtags","Mentions"
"1","1","905417792224190464","@zhandlen It is competent and mostly spooky, though in more of a loud funhouse way than the creeping dread of the source material.","AADowd","AADowd","Wed Sep 06 13:09:58 +0000 2017","1","0","English","Twitter Web Client","Reply","","0","0",1
"2","2","905419195810283521","@scottrenshaw @zhandlen Agreed on both fronts.","AADowd","AADowd","Wed Sep 06 13:15:32 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",2
"3","3","905419978878406656","I will say this: As retro knockoff Amblin entertainments go, IT buries STRANGER THINGS and SUPER 8.","AADowd","AADowd","Wed Sep 06 13:18:39 +0000 2017","27","0","English","Twitter for Android","Tweet","","0","0",0
"4","4","905436311758282752","@ManiLazic Jerry O'Connell double bill!","AADowd","AADowd","Wed Sep 06 14:23:33 +0000 2017","2","0","English","Twitter for Android","Reply","","0","0",1
"5","5","905436744560107522","@ManiLazic Too bad SCREAM 2 wasn't a third option.","AADowd","AADowd","Wed Sep 06 14:25:16 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"6","6","905437205182779394","A. Many Dreamers are veterans. Many are HOMELESS veterans.
B. What are you doing to help homeless vets? What policies do you support? https://t.co/BwYhQaNCrP","AADowd","AADowd","Wed Sep 06 14:27:06 +0000 2017","0","0","English","Twitter for Android","Retweet","","1","0",0
"7","7","905442340051062784","Bong Joon-ho maybe? https://t.co/kuY4KVdTTY","AADowd","AADowd","Wed Sep 06 14:47:30 +0000 2017","18","0","English","Twitter for Android","Tweet","","1","0",0
"8","8","905443314039705601","Could see Del Toro nailing it, too. PACIFIC RIM proved he could do big-budget spectacle and he'd have a ball with the Cantina clientele.","AADowd","AADowd","Wed Sep 06 14:51:23 +0000 2017","11","0","English","Twitter for Android","Reply","","0","0",0
"9","9","905443632064458752","@JGLumpy Well, no kidding. They'd probably fire him, too.","AADowd","AADowd","Wed Sep 06 14:52:38 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"10","10","905444905232637952","@Books_Not_Wooks I'll have to wait for her WRINKLE IN TIME to know if she has the right craft for blockbuster gigs, that's for sure.","AADowd","AADowd","Wed Sep 06 14:57:42 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"11","11","905536907488235520","Fave thing about the start of #TIFF: running into a bunch of critics I know at the Lightbox. We'll scatter in a million directions tomorrow.","AADowd","AADowd","Wed Sep 06 21:03:17 +0000 2017","11","1","English","Twitter for Android","Tweet","","0","1",0
"12","12","905601258567987202","DOWNSIZING is more clever idea than fully-formed satire, &amp; that's before Payne basically bails on it for something even less biting. #TIFF17","AADowd","AADowd","Thu Sep 07 01:18:59 +0000 2017","20","7","English","Twitter for Android","Tweet","","0","1",0
"13","13","905602810854690820","@iowhawk It is.","AADowd","AADowd","Thu Sep 07 01:25:10 +0000 2017","3","0","English","Twitter for Android","Reply","","0","0",1
"14","14","905608219283816448","@jasonosia There was a Toronto general press screening tonight.","AADowd","AADowd","Thu Sep 07 01:46:39 +0000 2017","2","0","English","Twitter for Android","Reply","","0","0",1
"15","15","905774044183756800","Flexible day one at #TIFF17. I know I'm seeing opening night film BORG/McENROE. Otherwise, playing it by ear. Expect a dispatch or two.","AADowd","AADowd","Thu Sep 07 12:45:35 +0000 2017","8","0","English","Twitter for Android","Tweet","","0","1",0
"16","16","905864981002031104","BORG/McENROE: Must every famous sports rivalry be turned into an overwrought, the stakes-couldn't-be-higher sports movie? #TIFF17","AADowd","AADowd","Thu Sep 07 18:46:56 +0000 2017","8","1","English","Twitter for Android","Tweet","","0","1",0
"17","17","905865446099894272","Seen worse #TIFF openers, tho. And I do like how filmmakers seem to have settled on harnessing Shia's assholery, not trying to disguise it.","AADowd","AADowd","Thu Sep 07 18:48:47 +0000 2017","6","1","English","Twitter for Android","Reply","","0","1",0
"18","18","905880748367990788","Instead of daily dispatches, this year we're writing as we see things. Here's some quick thoughts on DOWNSIZING. https://t.co/27lPJdVP4G","AADowd","AADowd","Thu Sep 07 19:49:35 +0000 2017","4","0","English","Twitter Web Client","Tweet","","1","0",0
"19","19","905904107990417409","Retweet and share. Operation #MAGA is looking to arrest some non-white people at the behest of racist Mr. Orange. #OperationMega https://t.co/FCHGwnsjml","AADowd","AADowd","Thu Sep 07 21:22:24 +0000 2017","0","0","English","Twitter Web Client","Retweet","","1","2",0
"20","20","905927080503906309","Glad that the critical tide seems to be turning on HAPPY END, Haneke's self-derivative slog. I defend the guy often, but not this time.","AADowd","AADowd","Thu Sep 07 22:53:41 +0000 2017","8","2","English","Twitter for Android","Tweet","","0","0",0
"21","21","905929002006839296","@lawrencengarcia It had some big defenders there, I feel like.","AADowd","AADowd","Thu Sep 07 23:01:20 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"22","22","905930316522692609","@lawrencengarcia If anything, that's picking up more support.","AADowd","AADowd","Thu Sep 07 23:06:33 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"23","23","905937618696900613","Here's our official TIFF kickoff entry, with thoughts on overwrought opening-night movie BORG/McENROE. https://t.co/PTNRYJQ2cv","AADowd","AADowd","Thu Sep 07 23:35:34 +0000 2017","5","1","English","Twitter for Android","Tweet","","1","0",0
"24","24","905964357175140352","SUBURBICAN: Supremely awkward lab experiment, blending Coen hijinks with earnest social commentary. Oscar Isaac almost saves it. #TIFF17","AADowd","AADowd","Fri Sep 08 01:21:49 +0000 2017","16","0","English","Twitter for Android","Tweet","","0","1",0
"25","25","905964694313238528","@studiesincrap Indeed.","AADowd","AADowd","Fri Sep 08 01:23:09 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"26","26","906964214933209090","@cg_mann Loved 45 YEARS. This is more distantly admirable, like a well-acted neorealist dirge.","AADowd","AADowd","Sun Sep 10 19:34:54 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"27","27","906965134194520064","@davidehrlich Maybe that's it? I think maybe he's just more interested, at a certain point, in colliding these characters then resolving.","AADowd","AADowd","Sun Sep 10 19:38:33 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"28","28","906966658664689664","Shut out of DARKEST HOUR. Oscar talk puts asses in seats, I guess.","AADowd","AADowd","Sun Sep 10 19:44:36 +0000 2017","6","0","English","Twitter for Android","Tweet","","0","0",0
"29","29","906967069916143616","@cg_mann I quite liked it, but this is much better.","AADowd","AADowd","Sun Sep 10 19:46:14 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"30","30","906969511030538240","@JoshCabrita What day?","AADowd","AADowd","Sun Sep 10 19:55:56 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"31","31","906972724022538240","@JoshCabrita Rats. I'm gone then. Oh well.","AADowd","AADowd","Sun Sep 10 20:08:42 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"32","32","907088620690997254","ROMAN J. ISRAEL, ESQ: Ungainly, preposterous character study, featuring the rare bad Denzel performance. #TIFF17","AADowd","AADowd","Mon Sep 11 03:49:14 +0000 2017","49","17","English","Twitter for Android","Tweet","","0","1",0
"33","33","907226118381588482","@Brian_Tallerico @alxhuls @noahgittell But guys, what if I'm wrong?","AADowd","AADowd","Mon Sep 11 12:55:36 +0000 2017","2","0","English","Twitter Web Client","Reply","","0","0",3
"34","34","907227159349133312","@ElSoderbergho He is okay, yes. But not a performance to get excited about.","AADowd","AADowd","Mon Sep 11 12:59:44 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"35","35","907229317914152961","My day five at #TIFF17: Guillermo Del Toro's THE SHAPE OF WATER, Platform title EUPHORIA, and CANIBA, the new doc from the LEVIATHAN duo.","AADowd","AADowd","Mon Sep 11 13:08:19 +0000 2017","16","0","English","Twitter Web Client","Tweet","","0","1",0
"36","36","907229448415715328","Also, some writing. Promise another dispatch or two soon.","AADowd","AADowd","Mon Sep 11 13:08:50 +0000 2017","0","0","English","Twitter Web Client","Reply","","0","0",0
"37","37","907230313377681408","@johnsemley3000 Not chronologically listed, actually. It's in the middle. Why do you think seeing it last would be smart?","AADowd","AADowd","Mon Sep 11 13:12:16 +0000 2017","0","0","English","Twitter Web Client","Reply","","0","0",1
"38","38","907230955823394816","@johnsemley3000 Yikes. Okay. Wish me luck with my mid-afternoon viewing of that, then.","AADowd","AADowd","Mon Sep 11 13:14:50 +0000 2017","1","0","English","Twitter Web Client","Reply","","0","0",1
"39","39","907252264552857600","Good acting &amp; an impeccable sense of grubby pastoral space can't quite rescue Clio Barnard's kitchen-sink drag DARK RIVER. #TIFF17","AADowd","AADowd","Mon Sep 11 14:39:30 +0000 2017","2","1","English","Twitter Web Client","Tweet","","0","1",0
"40","40","907301689002221570","THE SHAPE OF WATER: Weird and grotesque enough in spots to undercut the corniness of Del Toro's BEAUTY AND THE BEAST riff. #TIFF17","AADowd","AADowd","Mon Sep 11 17:55:54 +0000 2017","7","0","English","Twitter for Android","Tweet","","0","1",0
"41","41","907306056161939457","tfw you're triggered by American history https://t.co/FReQjhmi4Y","AADowd","AADowd","Mon Sep 11 18:13:15 +0000 2017","0","0","English","Twitter for Android","Retweet","","1","0",0
"42","42","907361560535891974","Some hasty #TIFF17 thoughts on Martin McDonagh's THREE BILLBOARDS OUTSIDE OF EBBING, MISSOURI. https://t.co/Oe9j27LWca","AADowd","AADowd","Mon Sep 11 21:53:48 +0000 2017","6","2","English","Twitter Web Client","Tweet","","1","1",0
"43","43","907366900237205504","CANIBA: Disturbing portrait of a convicted cannibal, whose psyche is every bit as jagged as the black sea of LEVIATHAN. #TIFF17","AADowd","AADowd","Mon Sep 11 22:15:01 +0000 2017","11","0","English","Twitter Web Client","Tweet","","0","1",0
"44","44","907430651233673217","EUPHORIA: Not a word I use often, but that was pretentious. Actors looked as stranded as I felt. #TIFF17","AADowd","AADowd","Tue Sep 12 02:28:21 +0000 2017","2","0","English","Twitter for Android","Tweet","","0","1",0
"45","45","907595116046581760","On day 6 of #TIFF17: JIM AND ANDY (about Carrey and Kaufman), IF YOU SAW HIS HEART, BRAWL IN CELL BLOCK 99, and maybe the new Lynn Shelton.","AADowd","AADowd","Tue Sep 12 13:21:52 +0000 2017","2","0","English","Twitter Web Client","Tweet","","0","1",0
"46","46","907600721679335425","@fauxbeatpoet Oh yeah? Not worth it?","AADowd","AADowd","Tue Sep 12 13:44:09 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"47","47","907694151805935617","Beefy prestige oater HOSTILES doesn't do anything new with the genre, but there's an integrity to its monolithic melancholy. #TIFF17","AADowd","AADowd","Tue Sep 12 19:55:24 +0000 2017","3","0","English","Twitter for Android","Tweet","","0","1",0
"48","48","907697543236214784","A misleadingly titled #TIFF17 dispatch, with thoughts on THELMA, ZAMA, and LEAN ON PETE (and STRONGER, barely): https://t.co/RaZWXTwlin","AADowd","AADowd","Tue Sep 12 20:08:53 +0000 2017","0","1","English","Twitter for Android","Tweet","","1","1",0
"49","49","907697674492809223","@rockmarooned It's a good word, Jesse.","AADowd","AADowd","Tue Sep 12 20:09:24 +0000 2017","2","0","English","Twitter for Android","Reply","","0","0",1
"50","50","907702994128572416","@iowhawk Me neither. This is his best, though still far from great.","AADowd","AADowd","Tue Sep 12 20:30:32 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"51","51","907706571844661250","Couldn't make it to JIM &amp; ANDY this morning. Was it good? Did I mess up? #TIFF17","AADowd","AADowd","Tue Sep 12 20:44:45 +0000 2017","0","0","English","Twitter for Android","Tweet","","0","1",0
"52","52","907706971536728070","@mousterpiece This tweet is wildly vague at best, grossly withholding at worst.","AADowd","AADowd","Tue Sep 12 20:46:21 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
